"DOPLogNumber","Project","Station","Date","SerialNumber","PreyCategory","PreyLengthSpecies","PreyLength","LengthEstimate","PreyWeight","EyeDiameter","PreyAntennaLength","PreySex","PreyLengthComments"
47,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E47","Gammarus type","Unid Gammaroidea",3.20,"S",,,,,"NM, NW"
47,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E47","Corophium type","juvenile Corophium",1.10,,,,,,"NW"
48,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E48","Corophium type","juvenile Corophium",1.00,,,,,,"NW"
49,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E49","Gammarus type","juvenile Gammarus",3.20,"ED",,0.10,,,"NM, eye <0.1 mm"
49,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E49","Gammarus type","juvenile Gammarus",3.20,"ED",,0.10,,,"NM, eye <0.1 mm"
49,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E49","Gammarus type","Gammarus spp.",4.60,"ED",,0.20,,,"NM, NW"
49,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E49","Gammarus type","Unid Gammaroidea",3.20,"S",,,,,"NM, NW, eye NM"
50,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E50","Gammarus type","Gammarus spp.",4.60,"ED",,0.20,,,"NM, NW, eye NI"
51,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E51","Gammarus type","Gammarus spp.",4.60,"S",,,,,"NM, NW, eye NM"
51,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E51","Gammarus type","Unid Gammarus type",4.60,"ED",,0.20,,,"NM, NW"
51,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E51","Gammarus type","Unid Gammaroidea",4.60,"ED",,0.20,,,"NM, NW, eye NI"
52,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E52","Gammarus type","Gammarus spp.",2.80,,8.8e-04,,,,"NI, possibly G. lacustris"
52,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E52","Gammarus type","Gammarus spp.",3.30,,8.4e-04,,,,"Possibly G. lacustris"
52,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E52","Gammarus type","Gammarus spp.",3.00,,7.7e-04,,,,"Possibly G. lacustris"
52,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E52","Gammarus type","Gammarus spp.",4.10,,,,,,"NI, NW, possibly G. lacustris"
52,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E52","Gammarus type","Gammarus spp.",3.20,"ED",,0.10,,,"NM, NW, possibly G. lacustris"
52,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E52","Gammarus type","Gammarus spp.",3.70,,1.35e-03,,,,
52,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E52","Gammarus type","Gammarus spp.",3.40,,1.05e-03,,,,
52,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E52","Gammarus type","Gammarus spp.",3.10,,6.5e-04,,,,
52,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E52","Gammarus type","Gammarus spp.",3.40,,,,,,"NI, NW"
52,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E52","Gammarus type","Unid Gammaroidea",4.60,"ED",,0.20,,,"NM, NW"
52,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E52","Gammarus type","Unid Gammaroidea",4.60,"ED",,0.20,,,"NM, NW"
52,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E52","Gammarus type","juvenile Gammarus",1.70,,,,,,"NW"
52,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E52","Gammarus type","juvenile Gammarus",1.60,,,,,,"NW"
52,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E52","Gammarus type","Unid Gammarus type",4.60,"ED",,0.20,,,"NM, NW"
52,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E52","Gammarus type","Unid Gammarus type",3.20,"ED",,0.10,,,"NM, NW"
