PreyCategory,LifeStage,PreyCategoryDefinition,RoutinelyMeasured,Phylum,Class,Order,Family,Genus,Species,MeasuredWetWeight,CalculatedWetWeight,CarbonWeight,DryWeight,Reference,StartDate,EndDate,Comments
Orientomysis aspera,All,"Orientomysis aspera, all age classes. Formerly known as Acanthomysis aspera",Y,Arthropoda,Malacostraca,Mysida ,Mysidae,Orientomysis ,aspera,NA,,,,Based on length-weight equation. See prey length-weight equation lookup table,2011,,
Orientomysis hwanhaiensis,All,"Orientomysis hwanhaiensis, all age classes. Formerly known as Acanthomysis hwanhaiensis",Y,Arthropoda,Malacostraca,Mysida ,Mysidae,Orientomysis ,hwanhaiensis,NA,,,,Based on length-weight equation. See prey length-weight equation lookup table,2011,,
Osphranticum,Adult,Osphranticum spp adults,N,Arthropoda,Copepoda,Calanoida,Centropagidae ,Osphranticum,labronectum,36.6,,,,"From unid calanoid; Slater et al 2019. Patterns of zooplankton consumption by juvenile and adult Delta Smelt (Hypomesus transpacificus). In: Schultz A, editor. Directed Outflow Project Technical Report 1. U.S. Bureau of Reclamation, Bay-Delta Office, Mid-Pacific Region, Sacramento, CA. November 2019. 1:9–54",2011,,
Ostracods,All,All species of ostracods,N,Arthropoda,Ostracoda,,,,,48.1,,,,"Slater et al 2019. Patterns of zooplankton consumption by juvenile and adult Delta Smelt (Hypomesus transpacificus). In: Schultz A, editor. Directed Outflow Project Technical Report 1. U.S. Bureau of Reclamation, Bay-Delta Office, Mid-Pacific Region, Sacramento, CA. November 2019. 1:9–54",2011,,
Other calanoid,Adult,Adult calanoids that can be identified and do not belong to the other available taxonomic categories,N,Arthropoda,Copepoda,Calanoida,,,,,36.6,2,,Converted from carbon weight from Kimmerer 2006. Response of anchovies dampens effects of the invasive bivalve Corbula amurensis on the San Francisco Estuary foodweb. Mar Ecol Prog Ser. 324: 207–218,2011,,
Other cladocera,All,"All age classes of cladocerans not belonging to one of the other cladoceran taxonomic groups and can be identified. Individuals too digested to identify are classified as ""Unid cladocera""",N,Arthropoda,Branchiopoda,Cladocera,,,,30.1,,,,"Slater et al 2019. Patterns of zooplankton consumption by juvenile and adult Delta Smelt (Hypomesus transpacificus). In: Schultz A, editor. Directed Outflow Project Technical Report 1. U.S. Bureau of Reclamation, Bay-Delta Office, Mid-Pacific Region, Sacramento, CA. November 2019. 1:9–54",2011,,
Other cumacean,All,"All age classes of cumaceans that can be identified and are not N. hinumensis. Added category July 29 2020. Previously included in the category ""Cumaceans""",Y,Arthropoda,Malacostraca,Cumacea,,,,330.7,,,,"From Cumacean; Slater et al 2019. Patterns of zooplankton consumption by juvenile and adult Delta Smelt (Hypomesus transpacificus). In: Schultz A, editor. Directed Outflow Project Technical Report 1. U.S. Bureau of Reclamation, Bay-Delta Office, Mid-Pacific Region, Sacramento, CA. November 2019. 1:9–54",2020,,
Other cyclopoid,Adult,Adult cyclopoids that can be identified and do not belong in the other given taxonomic categories. Separated Eucyclops and Diacyclops adults from this category July 29 2020,N,Arthropoda,Copepoda,Cyclopoida,,,,44.4,,,,"Slater et al 2019. Patterns of zooplankton consumption by juvenile and adult Delta Smelt (Hypomesus transpacificus). In: Schultz A, editor. Directed Outflow Project Technical Report 1. U.S. Bureau of Reclamation, Bay-Delta Office, Mid-Pacific Region, Sacramento, CA. November 2019. 1:9–54",2011,,
Other insect larvae,Larvae,Insect larvae that do not belong to the family Chironomidae,N,Arthropoda,Insecta,,,,,490.4,,,,"Slater et al 2019. Patterns of zooplankton consumption by juvenile and adult Delta Smelt (Hypomesus transpacificus). In: Schultz A, editor. Directed Outflow Project Technical Report 1. U.S. Bureau of Reclamation, Bay-Delta Office, Mid-Pacific Region, Sacramento, CA. November 2019. 1:9–54",2011,,
Other malacostraca,All,Malacostracans not specifically listed above,N,Arthropoda,Malacostraca,Malacostraca,,,,494,,,,"Slater et al 2019. Patterns of zooplankton consumption by juvenile and adult Delta Smelt (Hypomesus transpacificus). In: Schultz A, editor. Directed Outflow Project Technical Report 1. U.S. Bureau of Reclamation, Bay-Delta Office, Mid-Pacific Region, Sacramento, CA. November 2019. 1:9–54",2011,,
Other rotifer,All,Rotifers identified to genus that are not listed,N,Rotifera,Monogononta,Ploima,,,,3.6,,,,"Slater et al 2019. Patterns of zooplankton consumption by juvenile and adult Delta Smelt (Hypomesus transpacificus). In: Schultz A, editor. Directed Outflow Project Technical Report 1. U.S. Bureau of Reclamation, Bay-Delta Office, Mid-Pacific Region, Sacramento, CA. November 2019. 1:9–54",2011,,
Other zooplankton,All,Any other invertebrate that does not fit in other listed categories,N,,,,,,,93.9,,,,"Slater et al 2019. Patterns of zooplankton consumption by juvenile and adult Delta Smelt (Hypomesus transpacificus). In: Schultz A, editor. Directed Outflow Project Technical Report 1. U.S. Bureau of Reclamation, Bay-Delta Office, Mid-Pacific Region, Sacramento, CA. November 2019. 1:9–54",2011,,
Pacific Herring,All,"Pacific Herring, all age classes",Y,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,pallasii,NA,,,,Based on length-weight equation. See prey length-weight equation lookup table,2011,,
Palaemon,All,"Palaemon spp, all age classes",Y,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemon,macrodactylus,NA,,,,Based on length-weight equation. See prey length-weight equation lookup table,2011,,
Polyarthra,All,"Polyarthra spp, all age classes",N,Rotifera,Monogononta,Ploima,Synchaetidae,Polyarthra,,,0.5,0.03,,Converted from carbon weight from Kimmerer 2006. Response of anchovies dampens effects of the invasive bivalve Corbula amurensis on the San Francisco Estuary foodweb. Mar Ecol Prog Ser. 324: 207–218,2011,,
Prickly Sculpin,All,"Prickly Sculpin, all age classes",Y,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Cottus,asper,NA,,,,Based on length-weight equation. See prey length-weight equation lookup table,2011,,
Pseudodiaptomus copepodid,Copepodid,Pseudodiaptomus spp juveniles,N,Arthropoda,Copepoda,Calanoida,Pseudodiaptomidae ,Pseudodiaptomus,,,13.7,0.75,,Converted from carbon weight from Kimmerer 2006. Response of anchovies dampens effects of the invasive bivalve Corbula amurensis on the San Francisco Estuary foodweb. Mar Ecol Prog Ser. 324: 207–218,2011,,
Pseudodiaptomus forbesi,Adult,Pseudodiaptomus forbesi adults,N,Arthropoda,Copepoda,Calanoida,Pseudodiaptomidae ,Pseudodiaptomus,forbesi,,54.9,3,,Converted from carbon weight from Kimmerer 2006. Response of anchovies dampens effects of the invasive bivalve Corbula amurensis on the San Francisco Estuary foodweb. Mar Ecol Prog Ser. 324: 207–218,2011,,
Pseudodiaptomus marinus,Adult,Pseudodiaptomus marinus adults,N,Arthropoda,Copepoda,Calanoida,Pseudodiaptomidae ,Pseudodiaptomus,marinus,,73.3,4,,Converted from carbon weight from Kimmerer 2006. Response of anchovies dampens effects of the invasive bivalve Corbula amurensis on the San Francisco Estuary foodweb. Mar Ecol Prog Ser. 324: 207–218,2011,,
Pseudodiaptomus nauplii,Nauplii,Pseudodiaptomus spp larvae,N,Arthropoda,Copepoda,Calanoida,Pseudodiaptomidae ,Pseudodiaptomus,,,1.8,0.1,,Converted from carbon weight from Kimmerer 2006. Response of anchovies dampens effects of the invasive bivalve Corbula amurensis on the San Francisco Estuary foodweb. Mar Ecol Prog Ser. 324: 207–218,2011,,
